GivenName	Latitude	Pounds	Birthday
Amy	4265.85	135.1	1962-05-10
Larry	3351.16	165.7	1962-05-11
Roy	2831.00	237.8	1962-05-12
Edwin	3969.31	170.1	1962-05-13
Maria	4006.41	231.2	1962-05-14
Jason	4154.09	254.5	1962-05-15
Jessica	3963.75	107.1	1962-05-16
Amy	3903.26	198	1962-05-17
Ryan	3389.12	209.9	1962-05-18
Bernice	3991.18	181.3	1962-05-19
Mary	4264.04	119.7	1962-05-20
Lenna	4299.32	202.2	1962-05-21
Nancy	4641.38	194	1962-05-22
John	4064.70	216.7	1962-05-23
Bernard	3660.88	136.8	1962-05-24
Mark	3598.19	175.3	1962-05-25
Alyssa	3531.96	222.9	1962-05-26
James	3399.29	152.2	1962-05-27
Elizabeth	4057.18	118.8	1962-05-28
Tonja	4199.18	206.4	1962-05-29
Beatrice	4151.22	159.9	1962-05-30
Michael	3271.39	194.5	1962-05-31
Beatrice	3771.33	225.3	1962-06-01
Michael	4054.90	137.5	1962-06-02
Charles	3904.13	155.5	1962-06-03
Kristi	4771.51	210.3	1962-06-04
Pedro	4712.13	163.2	1962-06-05
Willis	3985.45	167.9	1962-06-06
Martha	4181.60	166.3	1962-06-07
Amy	4066.85	152.7	1962-06-08
Leon	3363.79	203.3	1962-06-09
Michael	2782.13	159.1	1962-06-10
Allan	4233.10	182.4	1962-06-11
John	4007.42	168.1	1962-06-12
William	4065.51	224	1962-06-13
Monica	4164.63	142.8	1962-06-14
James	3652.73	210.8	1962-06-15
Gwenn	3767.97	188.8	1962-06-16
Linda	3951.19	147.2	1962-06-17
Harold	4295.28	187	1962-06-18
Thomas	3944.95	165.7	1962-06-19
Cari	3942.44	197.1	1962-06-20
John	3670.15	225.7	1962-06-21
Francis	2794.36	167.6	1962-06-22
Hans	3987.31	143.2	1962-06-23
Paul	3029.00	220	1962-06-24
Gerald	4286.03	198.2	1962-06-25
Nereida	3889.06	165.4	1962-06-26
Edward	4537.07	207.2	1962-06-27
James	4040.97	187.2	1962-06-28
Albert	3612.48	196.9	1962-06-29
Ann	4225.12	112.4	1962-06-30
Amanda	3137.22	185	1962-07-01
Marian	4244.13	120.3	1962-07-02
Rufina	3409.72	146.1	1962-07-03
Henry	3142.40	137.9	1962-07-04
Shirley	4242.45	160.4	1962-07-05
John	4686.74	189.4	1962-07-06
Lonnie	3281.16	186.8	1962-07-07
Irene	4746.78	114.4	1962-07-08
Horace	4343.65	179.3	1962-07-09
Fannie	3616.03	198.9	1962-07-10
Mary	4199.80	177.8	1962-07-11
Miguel	3589.31	223.7	1962-07-12
Lynne	3908.57	212.5	1962-07-13
Paula	4078.44	116.8	1962-07-14
Sterling	3911.46	173.6	1962-07-15
Forrest	4175.52	228.6	1962-07-16
Dorothy	3894.48	205.5	1962-07-17
Daniel	3911.40	161.7	1962-07-18
Randall	3972.45	255.2	1962-07-19
Byron	4332.48	224.4	1962-07-20
Patricia	4325.15	159.9	1962-07-21
Gary	4183.58	170.3	1962-07-22
John	3624.35	202	1962-07-23
Tracy	3930.76	101.4	1962-07-24
Amy	3583.08	133.3	1962-07-25
Frank	4189.77	147.2	1962-07-26
Tracy	4214.32	171.2	1962-07-27
Walter	4300.28	202.8	1962-07-28
Barbara	3274.83	128.3	1962-07-29
Lisa	2734.41	117.5	1962-07-30
Thomas	3842.19	171.2	1962-07-31
Mildred	4017.71	131.6	1962-08-01
Felicidad	4498.33	119.7	1962-08-02
Jason	4279.72	207.5	1962-08-03
Cary	3971.62	166.3	1962-08-04
Vincent	3398.28	181.5	1962-08-05
Victor	3778.90	242.4	1962-08-06
Fannie	4009.20	140.6	1962-08-07
David	3904.50	125.4	1962-08-08
Judith	3001.87	204.6	1962-08-09
Lori	4074.54	221.3	1962-08-10
Olinda	3770.01	223.7	1962-08-11
Norma	3369.44	125	1962-08-12
Silvia	3955.12	146.7	1962-08-13
Scarlett	3763.32	209.9	1962-08-14
Jessica	4101.78	194.9	1962-08-15
Flora	2996.77	124.1	1962-08-16
Mark	4065.20	158.6	1962-08-17
Martin	3323.01	192.5	1962-08-18
Tammy	4293.29	165.2	1962-08-19
Mary	3198.85	150.5	1962-08-20
Vicki	3279.06	112.2	1962-08-21
Brian	2605.39	208.3	1962-08-22
Lee	4188.31	153.6	1962-08-23
Andrew	4150.22	170.3	1962-08-24
Kerry	3313.08	203.1	1962-08-25
Kori	3950.85	165.2	1962-08-26
Kenneth	3825.17	165	1962-08-27
Marhta	3819.23	200.9	1962-08-28
James	3969.00	236.9	1962-08-29
Scott	4076.24	201.3	1962-08-30
Christopher	3286.99	220	1962-08-31
William	4251.50	241.3	1962-09-01
Owen	2978.78	224.2	1962-09-02
Humberto	4686.83	201.3	1962-09-03
Leslie	3776.23	117.5	1962-09-04
Nelson	3406.27	133.8	1962-09-05
Rose	4198.94	104.1	1962-09-06
Barbara	3796.77	188.5	1962-09-07
Doug	3367.29	235.4	1962-09-08
Philip	3768.44	160.2	1962-09-09
Brenda	3483.40	137.3	1962-09-10
Anthony	3791.04	206.4	1962-09-11
Nathan	3397.57	213.8	1962-09-12
Rodrigo	3417.06	145.2	1962-09-13
Robin	3518.36	195.8	1962-09-14
Thomas	3744.57	220.2	1962-09-15
Mary	4731.69	197.8	1962-09-16
Chuck	3395.99	146.5	1962-09-17
Waltraud	4050.19	201.3	1962-09-18
Diane	4171.88	131.1	1962-09-19
Robert	3390.44	214.7	1962-09-20
Benjamin	4488.89	139.9	1962-09-21
Danielle	3945.65	195.4	1962-09-22
Thomas	3291.40	236.1	1962-09-23
